rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
1545,2550,0.0,1,480,9,2.0,17,1,1,0,0,1,1,0,1,Upper East Side,Manhattan
2472,11500,2.0,2,2000,4,1.0,96,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
2919,4500,1.0,1,916,2,51.0,29,0,1,0,1,1,1,0,0,Midtown,Manhattan
2790,4795,1.0,1,975,3,8.0,31,0,0,0,1,1,1,0,1,Greenwich Village,Manhattan
3946,17500,2.0,2,4800,3,4.0,136,0,0,0,1,1,1,0,1,Soho,Manhattan
10817,3800,3.0,2,1100,3,5.0,101,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
9077,1995,0.0,0,600,6,1.0,115,0,0,0,0,0,0,0,0,Midtown East,Manhattan
5150,2995,0.0,1,579,6,21.0,33,0,0,0,0,0,0,0,0,Battery Park City,Manhattan
9507,15000,2.0,2,1715,0,30.0,2,0,0,0,0,0,0,0,0,Flatiron,Manhattan
1437,4650,1.0,1,915,5,5.0,106,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
404,2950,1.0,1,550,43,17.0,14,1,1,0,1,1,0,0,0,Upper East Side,Manhattan
8293,6920,3.0,2,1439,7,9.0,39,1,0,0,0,0,0,0,0,Midtown East,Manhattan
6594,4875,1.0,1,900,1,14.0,52,1,0,1,1,1,1,0,1,East Village,Manhattan
2964,4850,1.0,1,789,2,40.0,11,0,0,0,0,0,0,0,0,Midtown West,Manhattan
5405,3700,1.0,1,947,5,5.0,85,1,0,1,0,1,0,1,0,Upper East Side,Manhattan
5635,4200,2.0,1,900,4,8.0,111,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
5832,2195,1.0,1,500,3,3.0,106,1,0,0,0,0,0,0,0,Lower East Side,Manhattan
7050,4200,1.0,1,640,3,15.0,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
476,9000,2.0,2,1749,4,15.0,10,0,0,0,1,0,0,0,0,Midtown East,Manhattan
3491,4950,1.0,1,870,2,9.0,11,0,1,1,0,0,1,0,0,Midtown,Manhattan
