rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
1545,44518357,2550,0,1,480,9,2,17,1,1,0,0,1,1,0,1,Upper East Side,All Upper East Side,Manhattan
2472,94441623,11500,2,2,2000,4,1,96,0,0,0,0,0,0,0,0,Greenwich Village,All Downtown,Manhattan
10234,87632265,3000,3,1,1000,4,1,106,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
2919,76909719,4500,1,1,916,2,51,29,0,1,0,1,1,1,0,0,Midtown,All Midtown,Manhattan
2790,92953520,4795,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Greenwich Village,All Downtown,Manhattan
2869,8967298,3600,3,2,900,4,1,15,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
10524,60898078,1950,1,1,950,1,3,83,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
3946,23468975,17500,2,2,4800,3,4,136,0,0,0,1,1,1,0,1,Soho,All Downtown,Manhattan
5465,73060494,3500,1,1,996,9,7,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
10817,64726877,3800,3,2,1100,3,5,101,0,0,0,0,0,0,0,0,Central Harlem,All Upper Manhattan,Manhattan
4318,57792653,3900,3,2,1000,4,9,8,0,0,0,0,1,0,0,0,Greenwood,South Brooklyn,Brooklyn
9077,87831371,1995,0,0,600,6,1,115,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
5150,28448754,2995,0,1,579,6,21,33,0,0,0,0,0,0,0,0,Battery Park City,All Downtown,Manhattan
6265,20382303,2700,2,1,900,4,2,96,0,0,0,0,0,0,0,0,Gowanus,Northwest Brooklyn,Brooklyn
9507,84137202,15000,2,2,1715,0,30,2,0,0,0,0,0,0,0,0,Flatiron,All Downtown,Manhattan
1437,66221183,4650,1,1,915,5,5,106,0,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
404,17340497,2950,1,1,550,43,17,14,1,1,0,1,1,0,0,0,Upper East Side,All Upper East Side,Manhattan
24,96767093,4900,1,1,1216,6,3,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Northwest Brooklyn,Brooklyn
8293,47607639,6920,3,2,1439,7,9,39,1,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
6594,9417041,4875,1,1,900,1,14,52,1,0,1,1,1,1,0,1,East Village,All Downtown,Manhattan
2964,38443215,4850,1,1,789,2,40,11,0,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan
5259,2540088,1725,1,1,800,1,2,89,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
5405,13046465,3700,1,1,947,5,5,85,1,0,1,0,1,0,1,0,Upper East Side,All Upper East Side,Manhattan
9481,25024137,3900,0,1,1100,3,4,85,1,0,0,0,0,0,0,0,Williamsburg,North Brooklyn,Brooklyn
5635,15059636,4200,2,1,900,4,8,111,1,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
9736,5154242,1700,1,1,730,10,3,7,0,0,0,0,0,0,0,0,Briarwood,Northeast Queens,Queens
3833,41319561,2550,2,1,1000,4,3,20,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
5832,62413143,2195,1,1,500,3,3,106,1,0,0,0,0,0,0,0,Lower East Side,All Downtown,Manhattan
7050,9925024,4200,1,1,640,3,15,52,1,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
476,68822326,9000,2,2,1749,4,15,10,0,0,0,1,0,0,0,0,Midtown East,All Midtown,Manhattan
3491,93814173,4950,1,1,870,2,9,11,0,1,1,0,0,1,0,0,Midtown,All Midtown,Manhattan
2172,67594835,3000,0.5,1,573,11,8,31,0,0,0,0,1,0,0,0,Upper East Side,All Upper East Side,Manhattan
2443,38985498,2450,1,1,700,3,2,106,0,0,0,0,0,0,0,0,Central Harlem,All Upper Manhattan,Manhattan
849,26340900,2750,1,1,700,12,3,9,1,0,0,0,0,0,0,0,Clinton Hill,Northwest Brooklyn,Brooklyn
11328,81974065,1950,0,1,400,6,3,56,0,1,1,0,0,1,0,0,Gramercy Park,All Downtown,Manhattan
4315,91154087,2550,2,1,1081,2,3,65,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
